7485,2013-09-09T00:00:00.000-04:00,6,PROCESSING
7787,2013-09-10T00:00:00.000-04:00,6,PENDING
22457,2013-12-10T00:00:00.000-05:00,6,PENDING_PAYMENT
32895,2014-02-13T00:00:00.000-05:00,6,PENDING_PAYMENT
12828,2013-10-12T00:00:00.000-04:00,9,COMPLETE
18918,2013-11-19T00:00:00.000-05:00,9,PENDING_PAYMENT
50086,2014-06-03T00:00:00.000-04:00,9,COMPLETE
54350,2014-07-03T00:00:00.000-04:00,9,CLOSED
64753,2014-04-17T00:00:00.000-04:00,9,PENDING_PAYMENT
67610,2013-09-12T00:00:00.000-04:00,9,PENDING_PAYMENT
1559,2013-08-02T00:00:00.000-04:00,15,COMPLETE
8252,2013-09-14T00:00:00.000-04:00,15,PENDING_PAYMENT
27092,2014-01-09T00:00:00.000-05:00,15,COMPLETE
48376,2014-05-21T00:00:00.000-04:00,15,COMPLETE
191,2013-07-26T00:00:00.000-04:00,16,CLOSED
19211,2013-11-21T00:00:00.000-05:00,16,PENDING_PAYMENT
22858,2013-12-12T00:00:00.000-05:00,16,COMPLETE
34997,2014-02-25T00:00:00.000-05:00,16,COMPLETE
41831,2014-04-09T00:00:00.000-04:00,16,SUSPECTED_FRAUD
43399,2014-04-20T00:00:00.000-04:00,16,COMPLETE
68759,2013-11-27T00:00:00.000-05:00,16,COMPLETE
789,2013-07-29T00:00:00.000-04:00,17,COMPLETE
17053,2013-11-08T00:00:00.000-05:00,17,ON_HOLD
30338,2014-01-29T00:00:00.000-05:00,17,CLOSED
52604,2014-06-19T00:00:00.000-04:00,17,COMPLETE
57733,2014-07-24T00:00:00.000-04:00,17,CLOSED
1018,2013-07-30T00:00:00.000-04:00,19,COMPLETE
6122,2013-09-01T00:00:00.000-04:00,19,CLOSED
12181,2013-10-07T00:00:00.000-04:00,19,COMPLETE
16447,2013-11-05T00:00:00.000-05:00,19,CLOSED
21640,2013-12-05T00:00:00.000-05:00,19,COMPLETE
32079,2014-02-08T00:00:00.000-05:00,19,PENDING
37228,2014-03-11T00:00:00.000-04:00,19,CLOSED
45390,2014-05-02T00:00:00.000-04:00,19,PENDING_PAYMENT
54623,2014-07-05T00:00:00.000-04:00,19,PROCESSING
5101,2013-08-25T00:00:00.000-04:00,20,COMPLETE
8169,2013-09-14T00:00:00.000-04:00,20,PENDING_PAYMENT
15199,2013-10-29T00:00:00.000-04:00,20,COMPLETE
21533,2013-12-04T00:00:00.000-05:00,20,PENDING_PAYMENT
24792,2013-12-25T00:00:00.000-05:00,20,COMPLETE
34268,2014-02-20T00:00:00.000-05:00,20,CLOSED
57269,2014-07-21T00:00:00.000-04:00,20,PROCESSING
6521,2013-09-04T00:00:00.000-04:00,23,SUSPECTED_FRAUD
7050,2013-09-07T00:00:00.000-04:00,23,CLOSED
11317,2013-10-03T00:00:00.000-04:00,23,PENDING_PAYMENT
22434,2013-12-09T00:00:00.000-05:00,23,CLOSED
23432,2013-12-17T00:00:00.000-05:00,23,PROCESSING
32638,2014-02-11T00:00:00.000-05:00,23,PENDING_PAYMENT
33441,2014-02-16T00:00:00.000-05:00,23,PENDING_PAYMENT
42824,2014-04-15T00:00:00.000-04:00,23,PROCESSING
34075,2014-02-19T00:00:00.000-05:00,29,PENDING_PAYMENT
52951,2014-06-23T00:00:00.000-04:00,29,PENDING_PAYMENT
58072,2013-08-06T00:00:00.000-04:00,29,CLOSED
21848,2013-12-06T00:00:00.000-05:00,30,PENDING_PAYMENT
37436,2014-03-12T00:00:00.000-04:00,30,COMPLETE
18311,2013-11-14T00:00:00.000-05:00,39,PROCESSING
25140,2013-12-27T00:00:00.000-05:00,39,PROCESSING
28847,2014-01-19T00:00:00.000-05:00,39,PROCESSING
44059,2014-04-24T00:00:00.000-04:00,39,PENDING_PAYMENT
61149,2013-12-03T00:00:00.000-05:00,39,PROCESSING
22061,2013-12-07T00:00:00.000-05:00,40,CLOSED
29089,2014-01-21T00:00:00.000-05:00,40,ON_HOLD
